Date,Package,Version,Count
2024-02-01T06:18:03Z,charts/k8s-metacollector,0.1.4,4
2024-02-02T06:17:03Z,charts/k8s-metacollector,0.1.4,4
2024-02-03T06:16:08Z,charts/k8s-metacollector,0.1.4,4
2024-02-04T06:16:09Z,charts/k8s-metacollector,0.1.4,5
2024-02-05T06:17:37Z,charts/k8s-metacollector,0.1.4,5
2024-02-06T06:17:27Z,charts/k8s-metacollector,0.1.4,6
2024-02-07T06:17:07Z,charts/k8s-metacollector,0.1.4,7
2024-02-08T06:17:54Z,charts/k8s-metacollector,0.1.4,7
2024-02-09T06:17:19Z,charts/k8s-metacollector,0.1.4,8
2024-02-10T06:16:34Z,charts/k8s-metacollector,0.1.4,8
2024-02-11T06:17:25Z,charts/k8s-metacollector,0.1.4,9
2024-02-12T06:18:12Z,charts/k8s-metacollector,0.1.4,10
2024-02-13T06:19:08Z,charts/k8s-metacollector,0.1.4,11
2024-02-14T06:18:10Z,charts/k8s-metacollector,0.1.4,11
2024-02-15T06:17:52Z,charts/k8s-metacollector,0.1.4,11
2024-02-16T06:17:19Z,charts/k8s-metacollector,0.1.4,12
2024-02-17T06:17:07Z,charts/k8s-metacollector,0.1.4,12
2024-02-18T06:16:56Z,charts/k8s-metacollector,0.1.4,13
